time,altitude,velocity,q,mach,gimbal,theta,apoapsis,periapsis,theta_error
0.2500,1.4384,11.5176,51.9396,0.0271,0.0000,1.5708,5.2384,-6371000.0000,0.0000
0.5500,6.9766,25.4177,326.5149,0.0679,0.0000,1.5708,32.9224,-6371000.0000,0.0000
0.7500,12.9908,34.7299,642.2116,0.0952,0.0000,1.5708,64.7588,-6371000.0000,0.0000
1.0000,23.1332,46.4184,1187.5235,0.1296,0.0000,1.5708,119.7911,-6371000.0000,0.0000
1.2500,36.2042,58.1574,1901.3517,0.1641,0.0000,1.5708,191.9294,-6371000.0000,0.0000
1.5000,52.2159,69.9436,2784.3993,0.1987,0.0000,1.5708,281.3476,-6371000.0000,0.0000
1.7500,71.1796,81.7735,3836.8802,0.2335,0.0000,1.5708,388.2034,-6371000.0000,0.0000
2.0000,93.1060,93.6436,5058.5119,0.2685,0.0000,1.5708,512.6376,-6371000.0000,0.0000
2.2500,118.0045,105.5506,6448.5103,0.3036,0.0000,1.5708,654.7739,-6371000.0000,0.0000
2.5500,151.8184,119.8827,8336.9049,0.3458,0.0000,1.5708,848.8531,-6371000.0000,0.0000
2.8000,183.2854,131.8583,10092.0729,0.3812,0.0000,1.5708,1030.2846,-6371000.0000,0.0000
3.0500,217.7497,143.8594,12009.7270,0.4167,0.0000,1.5708,1229.6979,-6371000.0000,0.0000
3.3000,255.2170,155.8827,14086.9909,0.4523,0.0000,1.5708,1447.1441,-6371000.0000,0.0000
3.5500,295.6926,167.9245,16320.5083,0.4880,0.0000,1.5708,1682.6571,-6371000.0000,0.0000
3.8000,339.1805,179.9816,18706.4559,0.5238,0.0000,1.5708,1936.2543,-6371000.0000,0.0000
4.0500,385.6843,192.0504,21240.5586,0.5596,0.0000,1.5708,2207.9368,-6371000.0000,0.0000
4.3000,435.2065,204.1279,23918.1079,0.5956,0.0000,1.5708,2497.6900,-6371000.0000,0.0000
4.5500,487.7487,216.2106,26733.9815,0.6317,0.0000,1.5708,2805.4845,-6371000.0000,0.0000
4.8000,543.3120,228.2957,29682.6663,0.6678,0.0000,1.5708,3131.2766,-6371000.0000,0.0000
5.0500,601.8965,240.3799,32758.2828,0.7040,0.0000,1.5708,3475.0091,-6371000.0000,0.0000
5.3000,663.5016,252.4605,35954.6110,0.7402,0.0000,1.5708,3836.6126,-6371000.0000,0.0000
5.5500,728.1262,264.5348,39265.1182,0.7766,0.0000,1.5708,4216.0063,-6371000.0000,0.0000
5.8000,795.7657,276.5445,42675.9500,0.8129,0.0000,1.5708,4612.4661,-6371000.0000,0.0000
6.0500,866.3674,288.2009,46091.2766,0.8483,0.0000,1.5708,5017.8002,-6371000.0000,0.0000
6.3000,939.8300,299.4240,49456.2862,0.8827,0.0000,1.5708,5427.2417,-6371000.0000,0.0000
6.5500,1016.0400,310.1740,52738.7047,0.9157,-0.0001,1.5708,5837.9185,-6371000.0000,0.0000
6.8000,1094.8748,320.4184,55908.6607,0.9473,-0.0012,1.5704,6247.0607,-6371000.0000,-0.0003
7.0500,1176.2050,330.1331,58939.6024,0.9774,-0.0007,1.5695,6652.0868,-6370999.9999,-0.0013
7.3000,1259.8959,339.3020,61808.9791,1.0060,-0.0004,1.5683,7050.6740,-6370999.9997,-0.0019
7.5500,1345.8099,347.9176,64498.7077,1.0331,-0.0003,1.5670,7440.8132,-6370999.9991,-0.0021
7.8000,1433.8118,356.0519,67006.1610,1.0586,-0.0003,1.5655,7821.8779,-6370999.9979,-0.0023
8.0500,1523.8288,364.0740,69457.1236,1.0837,-0.0002,1.5640,8205.6713,-6370999.9954,-0.0024
8.3000,1615.8441,372.0400,71889.2545,1.1088,-0.0002,1.5625,8595.9457,-6370999.9911,-0.0025
8.5500,1709.8443,379.9548,74300.9402,1.1337,-0.0002,1.5609,8992.7385,-6370999.9840,-0.0026
8.8000,1805.8174,387.8235,76690.7413,1.1586,-0.0002,1.5592,9396.1053,-6370999.9729,-0.0026
9.0500,1903.7522,395.6508,79057.3794,1.1835,-0.0002,1.5576,9806.1193,-6370999.9564,-0.0027
9.3000,2003.6391,403.4417,81399.7230,1.2083,-0.0002,1.5559,10222.8714,-6370999.9330,-0.0028
9.5000,2084.9483,409.6515,83255.4321,1.2282,-0.0002,1.5545,10561.1959,-6370999.9080,-0.0028
9.7500,2188.3282,417.3891,85551.6172,1.2530,-0.0002,1.5527,10990.3579,-6370999.8671,-0.0029
10.0000,2293.6393,425.1041,87821.0180,1.2779,-0.0002,1.5509,11426.5995,-6370999.8132,-0.0029
10.2500,2400.8764,432.8011,90062.9511,1.3028,-0.0002,1.5491,11870.0731,-6370999.7436,-0.0030
10.5000,2510.0357,440.4851,92276.8233,1.3277,-0.0002,1.5472,12320.9465,-6370999.6553,-0.0030
10.7500,2621.1142,448.1608,94462.1216,1.3527,-0.0002,1.5453,12779.4024,-6370999.5448,-0.0031
11.0000,2734.1105,455.8330,96618.4026,1.3778,-0.0002,1.5433,13245.6387,-6370999.4084,-0.0031
11.2500,2849.0240,463.5064,98745.2833,1.4030,-0.0002,1.5414,13719.8679,-6370999.2420,-0.0032
11.5000,2965.8557,471.1859,100842.4320,1.4283,-0.0002,1.5393,14202.3169,-6370999.0408,-0.0032
11.7500,3084.6074,478.8760,102909.5595,1.4538,-0.0002,1.5373,14693.2273,-6370998.8000,-0.0033
12.0000,3205.2821,486.5814,104946.4110,1.4794,-0.0002,1.5352,15192.8548,-6370998.5139,-0.0033
12.2500,3327.8840,494.3068,106952.7585,1.5052,-0.0002,1.5331,15701.4696,-6370998.1767,-0.0034
12.5000,3452.4186,502.0568,108928.3930,1.5312,-0.0003,1.5310,16219.3560,-6370997.7816,-0.0035
12.7500,3578.8922,509.8359,110873.1179,1.5573,-0.0003,1.5288,16746.8127,-6370997.3217,-0.0035
13.0000,3707.3125,517.6488,112786.7424,1.5838,-0.0003,1.5266,17284.1527,-6370996.7892,-0.0036
13.2500,3837.6882,525.4999,114669.0751,1.6104,-0.0003,1.5243,17831.7035,-6370996.1757,-0.0036
13.5000,3970.0290,533.3939,116519.9180,1.6373,-0.0003,1.5220,18389.8073,-6370995.4721,-0.0037
13.7500,4104.3459,541.3351,118339.0611,1.6645,-0.0003,1.5197,18958.8208,-6370994.6687,-0.0037
14.0000,4240.6509,549.3281,120126.2771,1.6920,-0.0003,1.5174,19539.1156,-6370993.7549,-0.0038
14.2500,4378.9570,557.3774,121881.3163,1.7197,-0.0003,1.5150,20131.0788,-6370992.7193,-0.0038
14.5000,4519.2784,565.4873,123603.9022,1.7479,-0.0003,1.5126,20735.1124,-6370991.5496,-0.0039
14.7500,4661.6305,573.6624,125293.7265,1.7763,-0.0003,1.5101,21351.6344,-6370990.2325,-0.0040
