time,altitude,velocity,q,mach,gimbal,theta,apoapsis,periapsis,theta_error
0.2500,1.4345,11.4861,51.6549,0.0270,0.0000,1.5708,5.2122,-6371000.0000,0.0000
0.5500,6.9577,25.3500,324.7709,0.0677,0.0000,1.5708,32.7617,-6371000.0000,0.0000
0.7500,12.9560,34.6391,638.8426,0.0950,0.0000,1.5708,64.4479,-6371000.0000,0.0000
1.0000,23.0723,46.2998,1181.4375,0.1292,0.0000,1.5708,119.2284,-6371000.0000,0.0000
1.2500,36.1102,58.0122,1891.8408,0.1636,0.0000,1.5708,191.0480,-6371000.0000,0.0000
1.5000,52.0824,69.7732,2770.8182,0.1982,0.0000,1.5708,280.0854,-6371000.0000,0.0000
1.7500,71.0006,81.5793,3818.6502,0.2330,0.0000,1.5708,386.5033,-6371000.0000,0.0000
2.0000,92.8756,93.4271,5035.1244,0.2678,0.0000,1.5708,510.4478,-6371000.0000,0.0000
2.2500,117.7173,105.3131,6419.5307,0.3029,0.0000,1.5708,652.0482,-6371000.0000,0.0000
2.5500,151.4564,119.6219,8300.7484,0.3451,0.0000,1.5708,845.4313,-6371000.0000,0.0000
2.8000,182.8560,131.5798,10049.6395,0.3804,0.0000,1.5708,1026.2456,-6371000.0000,0.0000
3.0500,217.2486,143.5648,11960.8332,0.4158,0.0000,1.5708,1225.0141,-6371000.0000,0.0000
3.3000,254.6404,155.5733,14031.5344,0.4514,0.0000,1.5708,1441.7942,-6371000.0000,0.0000
3.5500,295.0369,167.6020,16258.4687,0.4870,0.0000,1.5708,1676.6261,-6371000.0000,0.0000
3.8000,338.4428,179.6475,18637.8942,0.5228,0.0000,1.5708,1929.5333,-6371000.0000,0.0000
4.0500,384.8618,191.7063,21165.6166,0.5586,0.0000,1.5708,2200.5235,-6371000.0000,0.0000
4.3000,434.2968,203.7753,23837.0066,0.5946,0.0000,1.5708,2489.5883,-6371000.0000,0.0000
4.5500,486.7500,215.8512,26647.0193,0.6306,0.0000,1.5708,2796.7048,-6371000.0000,0.0000
4.8000,542.2227,227.9309,29590.2166,0.6667,0.0000,1.5708,3121.8354,-6371000.0000,0.0000
5.0500,600.7155,240.0115,32660.7908,0.7029,0.0000,1.5708,3464.9295,-6371000.0000,0.0000
5.3000,662.2283,252.0899,35852.5904,0.7391,0.0000,1.5708,3825.9238,-6371000.0000,0.0000
5.5500,726.7601,264.1636,39159.1477,0.7754,0.0000,1.5708,4204.7435,-6371000.0000,0.0000
5.8000,794.3073,276.1805,42567.9068,0.8118,0.0000,1.5708,4600.7823,-6371000.0000,0.0000
6.0500,864.8197,287.8505,45984.3383,0.8473,0.0000,1.5708,5005.9731,-6371000.0000,0.0000
6.3000,938.1966,299.0889,49351.5928,0.8816,0.0000,1.5708,5415.3719,-6371000.0000,0.0000
6.5500,1014.3248,309.8552,52637.2704,0.9147,0.0000,1.5708,5826.0989,-6371000.0000,0.0000
6.8000,1093.0821,320.1168,55811.3394,0.9464,-0.0013,1.5705,6235.3729,-6371000.0000,-0.0003
7.0500,1174.3390,329.8488,58847.0633,0.9765,-0.0007,1.5696,6640.5987,-6370999.9999,-0.0013
7.3000,1257.9610,339.0350,61721.6965,1.0052,-0.0004,1.5684,7039.4380,-6370999.9997,-0.0018
7.5500,1343.8104,347.6674,64416.9616,1.0323,-0.0003,1.5670,7429.8660,-6370999.9991,-0.0021
7.8000,1431.7512,355.8097,66928.0730,1.0579,-0.0003,1.5656,7811.0508,-6370999.9979,-0.0023
8.0500,1521.7079,363.8341,69379.5610,1.0830,-0.0002,1.5641,8194.6637,-6370999.9955,-0.0024
8.3000,1613.6636,371.8032,71812.6275,1.1080,-0.0002,1.5625,8584.7922,-6370999.9912,-0.0025
8.5500,1707.6051,379.7219,74225.6620,1.1330,-0.0002,1.5609,8981.4756,-6370999.9841,-0.0026
8.8000,1803.5205,387.5951,76617.2278,1.1579,-0.0002,1.5593,9384.7710,-6370999.9731,-0.0026
9.0500,1901.3989,395.4278,78986.0488,1.1828,-0.0002,1.5576,9794.7538,-6370999.9567,-0.0027
9.3000,2001.2308,403.2249,81330.9958,1.2076,-0.0002,1.5559,10211.5164,-6370999.9334,-0.0027
9.5000,2082.4972,409.4401,83189.0918,1.2275,-0.0002,1.5545,10549.8809,-6370999.9085,-0.0028
9.7500,2185.8252,417.1853,85488.6424,1.2524,-0.0002,1.5527,10979.1341,-6370999.8678,-0.0029
10.0000,2291.0863,424.9086,87761.8351,1.2772,-0.0002,1.5509,11415.5149,-6370999.8140,-0.0029
10.2500,2398.2757,432.6147,90007.9886,1.3021,-0.0002,1.5491,11859.1779,-6370999.7446,-0.0030
10.5000,2507.3896,440.3086,92226.5120,1.3271,-0.0002,1.5472,12310.2935,-6370999.6564,-0.0030
10.7500,2618.4253,447.9951,94416.8946,1.3522,-0.0002,1.5453,12769.0474,-6370999.5461,-0.0031
11.0000,2731.3816,455.6788,96578.6957,1.3773,-0.0002,1.5434,13235.6401,-6370999.4098,-0.0031
11.2500,2846.2582,463.3648,98711.5350,1.4025,-0.0002,1.5414,13710.2873,-6370999.2434,-0.0032
11.5000,2963.0561,471.0575,100815.0836,1.4279,-0.0002,1.5394,14193.2193,-6370999.0422,-0.0032
11.7500,3081.7774,478.7619,102889.0554,1.4534,-0.0002,1.5373,14684.6811,-6370998.8012,-0.0033
12.0000,3202.4255,486.4825,104933.1989,1.4790,-0.0002,1.5353,15184.9324,-6370998.5149,-0.0033
12.2500,3325.0047,494.2241,106947.2893,1.5049,-0.0002,1.5332,15694.2472,-6370998.1772,-0.0034
12.5000,3449.5208,501.9913,108931.1213,1.5309,-0.0003,1.5310,16212.9143,-6370997.7815,-0.0035
12.7500,3575.9803,509.7886,110884.5017,1.5571,-0.0003,1.5288,16741.2369,-6370997.3207,-0.0035
13.0000,3704.3911,517.6208,112807.2434,1.5836,-0.0003,1.5266,17279.5330,-6370996.7869,-0.0036
13.2500,3834.7623,525.4924,114699.1586,1.6103,-0.0003,1.5244,17828.1352,-6370996.1718,-0.0036
13.5000,3967.1039,533.4080,116560.0529,1.6373,-0.0003,1.5221,18387.3913,-6370995.4662,-0.0037
13.7500,4101.4271,541.3721,118389.7198,1.6645,-0.0003,1.5198,18957.6639,-6370994.6602,-0.0037
14.0000,4237.7443,549.3892,120187.9355,1.6921,-0.0003,1.5174,19539.3310,-6370993.7432,-0.0038
14.2500,4376.0688,557.4639,121954.4536,1.7199,-0.0003,1.5150,20132.7862,-6370992.7035,-0.0038
14.5000,4516.4151,565.6006,123689.0002,1.7481,-0.0003,1.5126,20738.4388,-6370991.5289,-0.0039
14.7500,4658.7988,573.8039,125391.2700,1.7767,-0.0003,1.5101,21356.7142,-6370990.2059,-0.0040
15.0000,4803.2366,582.0782,127060.9213,1.8056,-0.0003,1.5077,21988.0545,-6370988.7200,-0.0040
15.2500,4949.7463,590.4281,128697.5725,1.8349,-0.0003,1.5051,22632.9182,-6370987.0558,-0.0041
15.5000,5098.3467,598.8580,130300.7982,1.8647,-0.0003,1.5026,23291.7814,-6370985.1965,-0.0041
15.7500,5249.0577,607.3724,131870.1256,1.8948,-0.0003,1.5000,23965.1375,-6370983.1241,-0.0042
