time,altitude,velocity,q,mach,gimbal,theta,apoapsis,periapsis,theta_error
0.2500,1.4866,11.9041,55.4819,0.0280,0.0000,1.5708,5.5638,-6371000.0000,0.0000
0.5500,7.2112,26.2745,348.8754,0.0702,0.0000,1.5708,34.9765,-6371000.0000,0.0000
0.7500,13.4284,35.9038,686.3037,0.0984,0.0000,1.5708,68.8113,-6371000.0000,0.0000
1.0000,23.9142,47.9926,1269.2947,0.1339,0.0000,1.5708,127.3142,-6371000.0000,0.0000
1.2500,37.4292,60.1361,2032.6260,0.1696,0.0000,1.5708,204.0246,-6371000.0000,0.0000
1.5000,53.9865,72.3306,2977.1031,0.2055,0.0000,1.5708,299.1371,-6371000.0000,0.0000
1.7500,73.5985,84.5726,4102.9893,0.2415,0.0000,1.5708,412.8281,-6371000.0000,0.0000
2.0000,96.2765,96.8582,5409.9973,0.2777,0.0000,1.5708,545.2556,-6371000.0000,0.0000
2.2500,122.0309,109.1839,6897.2832,0.3140,0.0000,1.5708,696.5586,-6371000.0000,0.0000
2.5500,157.0106,124.0221,8917.9787,0.3578,0.0000,1.5708,903.2056,-6371000.0000,0.0000
2.8000,189.5655,136.4224,10796.1533,0.3944,0.0000,1.5708,1096.4301,-6371000.0000,0.0000
3.0500,225.2241,148.8506,12848.1597,0.4312,0.0000,1.5708,1308.8462,-6371000.0000,0.0000
3.3000,263.9928,161.3029,15070.8295,0.4680,0.0000,1.5708,1540.5124,-6371000.0000,0.0000
3.5500,305.8773,173.7757,17460.4613,0.5050,0.0000,1.5708,1791.4682,-6371000.0000,0.0000
3.8000,350.8821,186.2652,20012.8354,0.5421,0.0000,1.5708,2061.7346,-6371000.0000,0.0000
4.0500,399.0110,198.7679,22723.2313,0.5793,0.0000,1.5708,2351.3148,-6371000.0000,0.0000
4.3000,450.2668,211.2802,25586.4481,0.6166,0.0000,1.5708,2660.1945,-6371000.0000,0.0000
4.5500,504.6516,223.7987,28596.8275,0.6539,0.0000,1.5708,2988.3428,-6371000.0000,0.0000
4.8000,562.1664,236.3201,31748.2800,0.6914,0.0000,1.5708,3335.7132,-6371000.0000,0.0000
5.0500,622.8116,248.8411,35034.3122,0.7289,0.0000,1.5708,3702.2445,-6371000.0000,0.0000
5.3000,686.5867,261.3587,38448.0569,0.7665,0.0000,1.5708,4087.8619,-6371000.0000,0.0000
5.5500,753.4900,273.8524,41981.7191,0.8042,0.0000,1.5708,4492.4255,-6371000.0000,0.0000
5.8000,823.4852,286.0399,45553.7091,0.8412,0.0000,1.5708,4909.1350,-6371000.0000,0.0000
6.0500,896.4732,297.7862,49086.3233,0.8770,0.0000,1.5708,5331.2639,-6371000.0000,0.0000
6.3000,972.3377,309.0457,52543.6553,0.9116,0.0000,1.5708,5755.6668,-6371000.0000,0.0000
6.5500,1050.9523,319.7805,55892.0665,0.9446,-0.0016,1.5707,6179.2770,-6371000.0000,0.0000
6.8000,1132.1818,329.9616,59101.2797,0.9761,-0.0009,1.5701,6599.2070,-6370999.9999,-0.0008
7.0500,1215.8853,339.5691,62145.2733,1.0060,-0.0006,1.5690,7012.8364,-6370999.9998,-0.0016
7.3000,1301.9177,348.5924,65002.8751,1.0343,-0.0004,1.5677,7417.8794,-6370999.9994,-0.0020
7.5500,1390.1377,357.1282,67675.2648,1.0610,-0.0003,1.5663,7814.0709,-6370999.9986,-0.0023
7.8000,1480.4750,365.5599,70299.1155,1.0874,-0.0002,1.5648,8214.2281,-6370999.9967,-0.0024
8.0500,1572.9125,373.9304,72905.1262,1.1136,-0.0002,1.5632,8621.4580,-6370999.9933,-0.0025
